prompt,hypothesis,prompt_aligned,prompt_aligned_rev,hypothesis_rev,reference,prompts_plus_orth,prompts_plus_hypo,id,conf_mat_val
klas,klas,klas,klas,klas,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
mooi,m*o*,mooi,mooi,mo**,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
koe,hoe,koe,koe,hoe,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
groei,schoei,gr*oei,*groei,schoei,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
strand,sgrant,strand,strand,sgrant,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
bed,met,bed,bed,met,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
draai,*g*ai,draai,draai,g*a*i,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
sjaal,sa ja schal,s**ja****al,s**ja****al,sa ja schal,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
herfst,**r*ust,herf*st,herfst***,ru**st de,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
duur,de duur,d***uur,duur,duur,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
straat,st*aart,straa*t,straa*t,st*aart,e/1,1,1,S01C002V1_1LG,TP
leeuw,leeuw,leeuw,leeuw,leeuw,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
clown,**o*n,clown,clown,**o*n,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
hoek,hook,hoek,hoek,hook,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
krant,k*ant,krant,krant,k*ant,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
hout,h*alt,hou*t,ho*ut,hal*t,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
vriend,vr*end,vriend,vriend******,vr*end vreem,g/23,1,1,S01C002V1_1LG,TP
gauw,vreem gou gree,******gau*w***,gau**w**,gou gree,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
chips,sha ip*,ch**ips,ch**ip*s*,sha ip sc,c/g/35,1,1,S01C002V1_1LG,TP
groen,schroen,g**roen,groen,*hroen,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
feest,v*eft,feest,feest,ve*ft,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
reis,hiijs,rei*s,rei*s,hiijs,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
jas,jas,jas,jas,jas,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
huis,v*ijs,hui*s,hui*s,v*ijs,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
paard,v*art,paard,paard,va*rt,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
vijf,vijf,vijf,vijf,vijf,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
muts,mut*,muts,muts,mut*,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
nieuw,ni**w,nieuw,nieuw,ni**w,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
kind,kint,kind,kind,kint,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
bang,ma*l,bang,bang,mal*,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
oog,oor,oog,oog,oor,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
zacht,ja** ja,zach*t*,za*c*ht,ja ja**,g/14/35,1,1,S01C002V1_1LG,TP
schoen,schoen,schoen,schoen,schoen,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
plas,plas,plas,plas,plas,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
neus,n*ug,neus,neus,n*ug,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
knoop,knoop,knoop,knoop,knoop,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
plank,p*ia**,pl*ank,p*lank,pi*a**,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
water,watter,wat*er,wa*ter***,watter ma,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
mevrouw,ma mevrouw,m***evrouw,mevrouw,mevrouw,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
drogen,de gonken,d**rog*en,d**ro*gen,de gonken,e/34/14,1,1,S01C002V1_2LG,TP
winkel,winkel,winkel,winkel,winkel,CORRECTLY_READ,0,0,S01C002V1_2LG,TN
auto,outo,auto,aut**o**,outo oud,CORRECTLY_READ,0,1,S01C002V1_2LG,FP
