id,prompt,reference,hypothesis,hypothesis_rev,prompts_plus_orth,prompts_plus_hypo,prompt_aligned,prompt_aligned_rev
S01C002V1_1LG,klas,CORRECTLY_READ,glas,glas,0,1,*klas,*klas
S01C002V1_1LG,mooi,CORRECTLY_READ,mooi,mooi,0,0,mooi,mooi
S01C002V1_1LG,koe,CORRECTLY_READ,goed,goed,0,1,koe*,koe*
S01C002V1_1LG,arm,CORRECTLY_READ,arm,arm,0,0,arm,arm
S01C002V1_1LG,groei,CORRECTLY_READ,sc*hui,schu*i,0,1,gro*ei,*groei
S01C002V1_1LG,strand,CORRECTLY_READ,strand,strand,0,0,strand,strand
S01C002V1_1LG,bed,CORRECTLY_READ,bed,bed,0,0,bed,bed
S01C002V1_1LG,eerst,CORRECTLY_READ,eerst,eerst,0,0,eerst,eerst
S01C002V1_1LG,voor,CORRECTLY_READ,voor,voor,0,0,voor,voor
S01C002V1_1LG,draai,CORRECTLY_READ,tr*ein,tre*in,0,1,draai*,draai*
S01C002V1_1LG,sjaal,CORRECTLY_READ,schuil,schuil,0,1,sj*aal,s*jaal
S01C002V1_1LG,herfst,CORRECTLY_READ,herfst,herfst de,0,0,herfst,herfst***
S01C002V1_1LG,duur,CORRECTLY_READ,de deur deur,deur deur,0,1,d****u****ur,d*u****ur
S01C002V1_1LG,straat,e/1,st**art,star**t,1,1,straa*t,st*raat
S01C002V1_1LG,leeuw,CORRECTLY_READ,leeuw,leeuw,0,0,leeuw,leeuw
S01C002V1_1LG,clown,CORRECTLY_READ,gla*n,gla*n,0,1,clown,clown
S01C002V1_1LG,hoek,CORRECTLY_READ,hoek,hoek,0,0,hoek,hoek
S01C002V1_1LG,krant,CORRECTLY_READ,k*ant,k*ant,0,1,krant,krant
S01C002V1_1LG,hout,CORRECTLY_READ,hout,hout vriend,0,0,hout,hout*******
S01C002V1_1LG,vriend,g/23,vriend,vriend,1,0,vriend,vriend
S01C002V1_1LG,gauw,CORRECTLY_READ,vriend schouw,schouw,0,1,g*a********uw,**gauw
S01C002V1_1LG,chips,c/g/35,schip schip,schip schip,1,1,*chip*s****,*chip*s****
S01C002V1_1LG,groen,CORRECTLY_READ,schoen,schoen,0,1,gr*oen,*groen
S01C002V1_1LG,feest,CORRECTLY_READ,v*est,ve*st,0,1,feest,feest
S01C002V1_1LG,reis,CORRECTLY_READ,huis,huis,0,1,reis,reis
S01C002V1_1LG,jas,CORRECTLY_READ,jas,jas,0,0,jas,jas
S01C002V1_1LG,huis,CORRECTLY_READ,huis,huis,0,0,huis,huis
S01C002V1_1LG,paard,CORRECTLY_READ,paard,paard,0,0,paard,paard
S01C002V1_1LG,vijf,CORRECTLY_READ,vijf,vijf,0,0,vijf,vijf
S01C002V1_1LG,muts,CORRECTLY_READ,muts,muts,0,0,muts,muts
S01C002V1_1LG,nieuw,CORRECTLY_READ,nieuw,nieuw,0,0,nieuw,nieuw
S01C002V1_1LG,kind,CORRECTLY_READ,kind,kind,0,0,kind,kind
S01C002V1_1LG,bang,CORRECTLY_READ,ban*,ban*,0,1,bang,bang
S01C002V1_1LG,oog,CORRECTLY_READ,oor,oor ja k,0,1,oog,oo*****g
S01C002V1_1LG,zacht,g/14/35,ja k jacht,jacht,1,1,za*****cht,zacht
S01C002V1_1LG,schoen,CORRECTLY_READ,schoen,schoen,0,0,schoen,schoen
S01C002V1_1LG,plas,CORRECTLY_READ,plas,plas,0,0,plas,plas
S01C002V1_1LG,neus,CORRECTLY_READ,neus,neus,0,0,neus,neus
S01C002V1_1LG,knoop,CORRECTLY_READ,kn*op,kno*p,0,1,knoop,knoop
S01C002V1_1LG,plank,CORRECTLY_READ,plan*,plan*,0,1,plank,plank
