participant,word list,Wav2Vec2.0-CGN
4010103,kaart1A,ijseboom dun rek sa rit soutspaalkuil net puur bak lijn min jeuk mel boor feen coa koe wok raam den bas koek dom lak mil boot c tier zon zon pin pin dul gasgas men oom cep duif raar piep ren ruim doos luik ram haak terug dee rug rug eer kun keur gos pul buinen rijk zuur teug kip el sul sul
4010103,kaart2A,klaarwend schriep stomstomp langs draf klomt darm snie stroop krijt graag strikt vilm scheschaa schaal snuit vort drict kram krans inkt slak naast grint sleur troep blij pools mast mast glats enst flot sutstent arm brief sprei spreel brul trouwst plus mest babk dueil rond krei merk stop druk sproet hast speels dwerg
4010103,kaart3A,opave kenning staemde fle freeelt dor burg en ochtemd uhn sein ahncinlek lichaamen steel complec complex lawierg uit uiterst stifzus kijk sefes m tuhek ste ster hemel bre vildigant ko koker hingel verfolgens opzetelik iet niet main ondanks vijf vee ger nakutal
4010111,kaart1A,ijsboom den rek liedzel bepaalde rel met puerbak lijn win jeuk wol bor veijn koe bokran te ten ba baskourdordek berel bozee kierzo zoon pin dor ggaa gaasmen oom oom ceepduiveraar biepezea lijndoos luik ram haak rug eer kuurgas bul ruik zuur tuinkip els zuh ribotban lege rij rijphal wijsboog vee rouw hektaal heesdak saus jouw huis rot oen tas duik naam ton de hooftaak fit
4010111,kaart2A,klaarwens grieps stomp langs draf kloa klondarm sleufstro krijt graag strikwilm scha schral snuitvoort de lisku krant inkt slak naast lint sa snurftroep bli pols mast glad ernst flot dent arm be blief sa sneeuwbrul ter trouwsblus i g balk dwel romd klei berkstop druk spa ssproet hast sspielt de werg zacht smoes bond s zwijge grijs korstflautaar sponsblik trotskluis minst opsvacht punt punt zwak beo brots boei at koorts want plooi licht ces cerd proefsterk kruit racht
4010111,kaart3A,opa regen es stralend voruitteel morgenochtend aanzienlijk lichaamsdeel complex wawaeig uituitgea uitrest sstiefses kijkcijfers mini mou tuinherk sterren ren hemel eh reljant konker hen heng hengel vrgevolgens op opzettelijk litmachine onte onder ondanks wijsweger nanatuurla natuurtalet ak kse leskit mimni min el s soep soepel
4010112,kaart1A,ijsboom dun rek riet zoutpaal kilnet puurbakkerijen min jeuk m mou boor seen koe hook heram den das kol koa ke dom hek meelbotezee kierzom zon pin dolgat men o oom zeepduiven raa piep een rijn doos leuk ramp hè haak trug eer kuur ga gas ba bul rijksa zuur terugkip il zo uh rien bo pan weg gijf haalwijshoog zee rouwen
4010112,kaart2A,gwar wens riep tomp lang s dera kromp der dar sneu stroop karijs geraag strikt film gral snui vort fiest krant ink sak nast griep suerf te roet belei pols most gwat ernst polt krust stunt arm berie spreeul bril het troost plusmist de balk dewijl rondkaleijm merk stopdruk
4010112,kaart3A,alpa rekening stel stralend fruits steew morgenocht en aanzien k lichts del umprek lwi rig uh uit uh lest diefzus pek pever kijvers mi mnaal tuimen hek sterrenhemel briljand koker hemel vervolgens opzettelijk niet meer kies ontdanks wijs vriemdek natuurlijk natuur tan atif
4010115,kaart1A,ijsboon den rep rek riet zout paulkruit net puur bok lijn min jeuk mou boor feen coe wolk ran den bas coe cool tom nek mil boot c g kier sut zun bim dol graa graas men on zeep duif grar piep rein reindoos luik ram rug
