participant,word list,Faster-Whisper-Large-v2
4010103,kaart1A, ijsboom dun rek riet zout spaal kuil net puur bak lijn min jeuk mouw boor veen keukool wok raam den baas kool dom rek mil boot zee kier zon pien pin dol gaas men oom zeep duif raar piep ren ruin doos luik raam haark trug lijn rug eer kuur geur gas pul puil reik zuur teug tip
4010103,kaart2A, klaar wens griep stomp langs draf klont darm snie stroop krijt graag strikt film schaal sluit vorst triest kran krans inkt slak mast grint slurf troep blij pols mast glads ernst flot stunt arm brief spreeuw brul troost plus mist balk dwel rond krij merk stop druk sproets haast speel dwerg
4010103,kaart3A, oberrekening stralende fruitzeelt morgenochtend aanzienlijk lichamesteel complex lawaaijerig uiterst stiefzus kijkzuivers minimaal tuinhek sterrenhemel briljant kokker hengel vervolgens opzettelijk nietmachine ondanks vijftiger natuurtuin
4010111,kaart1A, ijsboom dunderdek rietzoutbal lelmet puberbak leinwind jeuk wauw borf veenkoe bokraam tentbak baaskoe domdek merelboot zeekeer zoonpindel gaasman oomzeebeduif lijndoos luik rang haak lug eer kuurgas peul ruik zuurtuig kip elf zol riembot pan leeg rijphal wijsboog vee rauw hektaal heesdak saus jauw huis rot oen tas duik naam ton dooftaak vit
4010111,kaart2A, klaarwens grieps stomp langs draf klontdarm sleustrook krijtgraag strikwiel schraal snuit voort tries krans inkt slak maast rind sleur droep lei pols mast glad ernst flot stuntarm brief sneeuw brul troost blus wis balk dwel rond klein werk stop druk sproet haast speelt dwerg zacht smoes mond zwijger grijs korst flauwtaart spons blik trotskluis minst pops vast punt zwak broek frots boei grijs kort want plooi licht kerst kerst proef ster kruid goedemiddag
4010111,kaart3A, opa regenis stralend fruitdeel morgenochtend aanzienlijk lichaamsdeel complex lawaairig uitrest stiefses kijkcijfers minimaal tuinhek sterren en hemel briljant koker hengel vervolgens opzettelijk liedmachine ondanks wijsvinger natuurtalent oxy leeswiet minieraal soepel
4010112,kaart1A, ijsboom dun rek riet zout paal kuil net puur bak lijn min jeuk maal boor veem koel wok raam den baas koel koel dom hek meel boter zeek hier zoen pin doel gaas men oom zeep duiven raar piep rij doos leuk ramp haak rug eer keur gas paal peul rijk zuur terug kip uil zool riem boot pan weg rijp haal wijs hoog vee rauw
4010112,kaart2A, klaarwens riep stomp langs draa klomp draa darm sneeuw stroop krijs graag strikt film schrauw snuit voort vriest krans ink slak naast griep slurf troep blij pols mast glad ernst voelt kunst stunt arm brief spreeuw bril troost plus mist balk dwijl rond klein merk stopdruk
4010112,kaart3A, opa rekening stralend fruit stil morgenochtend aanzienlijk licht deel complex lawaai heren uiterest stief zus kijk kijver kijvers miniaal tuinhek sterrenhemel briljant koker hengel vervolgens opzittelijk nietmerkisch ondanks wijsvriendelijk natuurlijk natuurtalend actief
4010115,kaart1A, icebombs rapeseeds rice salt leeks herbs mint pure baklava mint yoke mau bor fennel cow cloud raam den baas koel dum nek mil bot zee keer zoet zoen pim dool graas men om zeep duif raar pip rijndoos leuk ram rug
4010115,kaart2A, klaar wens griep storm langs daf draf klont darm sneeuw stroop krui graag schrik film schraal snuit woord triest krans inkt slak naast grint slurf troep bij plots hans mats glad ernst vlot
4010115,kaart3A, opa rekenen stralend stralend fruit deelt morgenochtend aansiekelijk lichaamsdeel complex lawaai lawaaierig uitstekend stiefjes kijkcijfers kijkcijfers minimaal tuinhek sterrengel prijtband kogel hengel
