prompt,hypothesis,prompt_aligned,prompt_aligned_rev,hypothesis_rev,reference,prompts_plus_orth,prompts_plus_hypo,id,conf_mat_val
klas,glas,*klas,*klas,glas,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
mooi,mooi,mooi,mooi,mooi,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
koe,goed,koe*,koe*,goed,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
groei,sc*hui,gro*ei,*groei,schu*i,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
strand,strand,strand,strand,strand,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
bed,bed,bed,bed,bed,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
draai,tr*ein,draai*,draai*,tre*in,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
sjaal,schuil,sj*aal,s*jaal,schuil,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
herfst,herfst,herfst,herfst***,herfst de,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
duur,de deur deur,d****u****ur,d*u****ur,deur deur,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
straat,st**art,straa*t,st*raat,star**t,e/1,1,1,S01C002V1_1LG,TP
leeuw,leeuw,leeuw,leeuw,leeuw,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
clown,gla*n,clown,clown,gla*n,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
hoek,hoek,hoek,hoek,hoek,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
krant,k*ant,krant,krant,k*ant,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
hout,hout,hout,hout*******,hout vriend,CORRECTLY_READ,0,0,S01C002V1_1LG,TN
vriend,vriend,vriend,vriend,vriend,g/23,1,0,S01C002V1_1LG,FN
gauw,vriend schouw,g*a********uw,**gauw,schouw,CORRECTLY_READ,0,1,S01C002V1_1LG,FP
